,dist,direction
05:00:00,35.11335714709432,south
05:30:00,87.19002912221484,south
06:00:00,96.86863862365779,south
06:30:00,82.6216639634959,south
07:00:00,127.9448846708028,south
07:30:00,112.4939115410981,south
08:00:00,139.403482700413,south
08:30:00,136.4081689196978,south
09:00:00,145.09178540188861,south
09:30:00,155.01698668278578,south
10:00:00,141.70097401220946,south
10:30:00,138.94971988815212,south
11:00:00,118.8156031844629,south
11:30:00,114.49140921811625,south
12:00:00,81.75208090247851,south
12:30:00,110.89832063827221,south
13:00:00,119.5852057852268,south
13:30:00,104.12191914022742,south
14:00:00,120.82454032837796,south
14:30:00,112.43774360789052,south
15:00:00,120.28628190080612,south
15:30:00,87.03703117663079,south
16:00:00,92.52268296350029,south
16:30:00,85.37740552962862,south
17:00:00,65.1254068201603,south
17:30:00,92.0497955891571,south
18:00:00,108.52069796320338,south
18:30:00,112.89463470641847,south
19:00:00,83.8283616128372,south
19:30:00,85.84288334568916,south
20:00:00,93.46699765720673,south
20:30:00,81.92838654969277,south
21:00:00,70.40647461390881,south
05:00:00,39.70529878844484,west
05:30:00,89.01364497312997,west
06:00:00,113.65509443373706,west
06:30:00,181.70429016716284,west
07:00:00,203.02599735401628,west
07:30:00,231.75138704339832,west
08:00:00,275.72007279709476,west
08:30:00,272.6405035072475,west
09:00:00,277.32355949733864,west
09:30:00,315.6629511732644,west
10:00:00,338.9679169389048,west
10:30:00,311.4286487118047,west
11:00:00,306.22323819122516,west
11:30:00,323.9601584585531,west
12:00:00,304.5705577932368,west
12:30:00,285.0074491305948,west
13:00:00,289.31474032156245,west
13:30:00,283.5262819654601,west
14:00:00,325.3973732951795,west
14:30:00,257.77281675077876,west
15:00:00,328.3254020681031,west
15:30:00,321.1753584143036,west
16:00:00,297.8698040507653,west
16:30:00,320.82746482741743,west
17:00:00,259.50192343224614,west
17:30:00,270.581570924219,west
18:00:00,336.71639872983076,west
18:30:00,343.3443660908788,west
19:00:00,348.2679220414344,west
19:30:00,324.07554213306605,west
20:00:00,285.16118522763634,west
20:30:00,258.7088850697653,west
21:00:00,191.70833622679288,west
05:00:00,1039.8867609391434,north
05:30:00,34.43067035415782,north
06:00:00,50.86105925654143,north
06:30:00,123.10781663178257,north
07:00:00,216.35195416596451,north
07:30:00,253.98824332051626,north
08:00:00,275.1152577291986,north
08:30:00,333.3426553667635,north
09:00:00,261.48255224624324,north
09:30:00,284.32826455078884,north
10:00:00,279.10133251200153,north
10:30:00,241.77445865416254,north
11:00:00,252.69161560279824,north
11:30:00,247.17286000230285,north
12:00:00,309.0741026260043,north
12:30:00,352.0275096454603,north
13:00:00,334.0195083875532,north
13:30:00,324.4487055908809,north
14:00:00,368.76232454818864,north
14:30:00,396.1663418491203,north
15:00:00,407.2325850148168,north
15:30:00,460.9930045947451,north
16:00:00,420.51607398741305,north
16:30:00,435.8623107639824,north
17:00:00,470.76454398267987,north
17:30:00,434.46175866085997,north
18:00:00,445.5935971196663,north
18:30:00,387.96760275347367,north
19:00:00,427.778178822744,north
19:30:00,412.50261136236514,north
20:00:00,413.00537915629684,north
20:30:00,390.64513975188135,north
21:00:00,305.058683793129,north
05:00:00,244.58312625882954,east
05:30:00,190.58743780137067,east
06:00:00,190.27570760027874,east
06:30:00,228.7687929043749,east
07:00:00,245.20897841653897,east
07:30:00,243.84281330413563,east
08:00:00,251.3110948116645,east
08:30:00,237.74266639609522,east
09:00:00,291.6457379568444,east
09:30:00,266.94167778213307,east
10:00:00,265.6391711703778,east
10:30:00,254.49417341404967,east
11:00:00,294.30981329268377,east
11:30:00,276.52749824354095,east
12:00:00,281.2271074560353,east
12:30:00,275.9405388971608,east
13:00:00,243.90587139663643,east
13:30:00,223.7782276686305,east
14:00:00,253.26291319258866,east
14:30:00,234.68086084084385,east
15:00:00,250.94117481511194,east
15:30:00,221.42825948440498,east
16:00:00,159.48226902391477,east
16:30:00,198.74438396528834,east
17:00:00,141.35659278180432,east
17:30:00,137.2794264907351,east
18:00:00,118.93063175244265,east
18:30:00,124.74478217867554,east
19:00:00,158.1527801071781,east
19:30:00,178.6246629783342,east
20:00:00,159.27567230616378,east
20:30:00,185.46603289909885,east
21:00:00,199.29850933512054,east
