,dist,direction
05:00:00,162.48167449672516,south
05:30:00,7.546808232348797,south
06:00:00,17.738383425861937,south
06:30:00,111.1201968818537,south
07:00:00,79.39789699015593,south
07:30:00,116.95535528798942,south
08:00:00,120.3163058263523,south
08:30:00,156.1431380585247,south
09:00:00,159.21870857783728,south
09:30:00,220.37655492988344,south
10:00:00,222.71202584658772,south
10:30:00,183.852897101941,south
11:00:00,131.6720859820936,south
11:30:00,73.26887352614901,south
12:00:00,67.97898047072843,south
12:30:00,65.0274933673939,south
13:00:00,68.12859972358412,south
13:30:00,61.1676798400194,south
14:00:00,115.88505473997776,south
14:30:00,65.31597946924722,south
15:00:00,66.98479110561013,south
15:30:00,80.35051777130337,south
16:00:00,108.84850670328606,south
16:30:00,133.1406332610884,south
17:00:00,85.72223636736416,south
17:30:00,163.83160750451788,south
18:00:00,159.44941386712165,south
18:30:00,167.0578237274438,south
19:00:00,136.09361598292497,south
19:30:00,170.93795255673962,south
20:00:00,134.1004531162035,south
20:30:00,182.28319905441694,south
21:00:00,157.87147894835476,south
05:00:00,1.5061970929855188,west
05:30:00,19.4410002621738,west
06:00:00,40.90023830063203,west
06:30:00,34.45784531193464,west
07:00:00,189.13665018654686,west
07:30:00,349.8748417270126,west
08:00:00,260.3220032116974,west
08:30:00,302.9209709037498,west
09:00:00,280.55343463492017,west
09:30:00,313.279636395791,west
10:00:00,239.17686543411116,west
10:30:00,278.02650754681014,west
11:00:00,229.99239626637717,west
11:30:00,328.8185430195514,west
12:00:00,351.78187773735635,west
12:30:00,403.83029353409404,west
13:00:00,385.9322438295344,west
13:30:00,386.5280252987133,west
14:00:00,406.09058625635015,west
14:30:00,392.65196781124513,west
15:00:00,402.96980032384255,west
15:30:00,371.179672950643,west
16:00:00,359.43261783815103,west
16:30:00,452.8257941630291,west
17:00:00,509.3810867220599,west
17:30:00,481.6546844026188,west
18:00:00,448.6119925437623,west
18:30:00,455.13727011883566,west
19:00:00,457.37630747467625,west
19:30:00,467.1783739473468,west
20:00:00,432.17019155633216,west
20:30:00,409.51555299952594,west
21:00:00,415.848021363872,west
05:00:00,5.835730504344777,north
05:30:00,6.853876588591778,north
06:00:00,12.07527903146649,north
06:30:00,5.336088472539682,north
07:00:00,67.18683115338504,north
07:30:00,77.17539063374984,north
08:00:00,125.3220877357897,north
08:30:00,61.812881814404506,north
09:00:00,66.07851438198864,north
09:30:00,101.64183733969516,north
10:00:00,108.73570248935494,north
10:30:00,91.01922633178444,north
11:00:00,101.6803358036441,north
11:30:00,147.90581101640035,north
12:00:00,102.42172399008123,north
12:30:00,120.7487610420751,north
13:00:00,151.91894423267433,north
13:30:00,84.06390640666243,north
14:00:00,87.73388764975499,north
14:30:00,127.5106403222266,north
15:00:00,84.8205762108021,north
15:30:00,120.7963505607276,north
16:00:00,81.06493228268957,north
16:30:00,115.75887721916149,north
17:00:00,48.03976365393975,north
17:30:00,53.34085442491672,north
18:00:00,60.33460076392905,north
18:30:00,113.83999778028422,north
19:00:00,64.09431714240534,north
19:30:00,115.62233623758607,north
20:00:00,67.9070207097482,north
20:30:00,63.737807647526274,north
21:00:00,43.320650336813706,north
05:00:00,183.9769200205854,east
05:30:00,325.34289172372587,east
06:00:00,206.84263824131452,east
06:30:00,346.3341805076411,east
07:00:00,190.72336190890854,east
07:30:00,198.58527523545672,east
08:00:00,167.57051048404992,east
08:30:00,256.0635454156257,east
09:00:00,159.09871886249277,east
09:30:00,231.56767804471343,east
10:00:00,150.79639804961,east
10:30:00,138.93383951932265,east
11:00:00,104.69231720598587,east
11:30:00,166.5420337986134,east
12:00:00,158.82033303963493,east
12:30:00,134.11206187493178,east
13:00:00,192.17427963996886,east
13:30:00,191.955654608419,east
14:00:00,247.93988051815987,east
14:30:00,229.92244840684162,east
15:00:00,222.57030907903385,east
15:30:00,264.9364735810835,east
16:00:00,269.060038586358,east
16:30:00,239.56538121235567,east
17:00:00,160.65517965538652,east
17:30:00,204.29179803352886,east
18:00:00,272.06600563199845,east
18:30:00,301.2356848280468,east
19:00:00,301.40684261766137,east
19:30:00,268.2726720127554,east
20:00:00,191.08142027019602,east
20:30:00,247.96892761233795,east
21:00:00,215.6524203179555,east
